epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm
324,135,3,0,0.02,0.5,0.02,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00442762365564704,0.10957529544830322,4.3108666194992036e-05,0.0010526082383547325,0,0
189,90,12,0,0.02,0.5,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0003096392611041665,0.0055578996427357195,8.44362338490195e-06,0.00015718457981807725,0,0
92,260,1,0,0.5,0.5,0.02,13300,3000,3000,0.5,0.5,0.0392156862745098,0.019999999552965164,0.49796992540359497,0.5,0.002023382031184107,0.0,0.6931515395641327,0.6931473255157471,1.0356296309458722e-06,1.464868274622501e-07,0,0
276,202,39,0,0.02,0.5,0.02,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00038453806773759426,0.006689628679305315,6.244927430533832e-06,0.00010982919839995451,0,0
69,119,26,0,0.02,0.5,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0027768607717007397,0.054049672186374666,0.0002661649187910564,0.00546069058101744,0,0
388,236,4,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0050152223091572525,0.0003939782560337335,3.93400018221142e-05,3.443002830912135e-06,0,0
381,224,8,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00014678727457066997,0.00015563052875222638,1.3734708676125661e-06,1.438914246783893e-06,0,0
283,140,11,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00012511021195678041,0.00013523176457965746,1.5905494472073168e-06,1.6953939610646266e-06,0,0
190,129,20,0,0.5,0.5,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0001781395258149132,0.00017645647894823924,3.436616702263238e-06,3.395372894152285e-06,0,0
170,189,1,0,0.02,0.02,0.02,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.008531731553375721,0.008657226711511612,9.538677614621231e-05,9.455287745057918e-05,0,0
40,249,12,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.004385972348973155,0.004279317683540285,0.0005891675028370603,0.000565241488826196,0,0
391,111,25,0,0.02,0.02,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0001042033291014377,0.0001003598197712563,1.0621916913703575e-06,1.0222154823788198e-06,0,0
215,297,37,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00043029321532230826,0.00048824054829310626,7.698014996695266e-06,8.650373967847466e-06,0,0
379,144,24,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.736910676816478e-05,9.453155144001357e-05,8.150956159309521e-07,8.819586454309913e-07,0,0
321,26,14,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.4462049966823542e-05,1.8267493942403235e-05,1.5247043595153604e-07,1.9203964931639821e-07,0,0
289,151,12,0,0.5,0.5,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00012827942555304617,0.00013064600352663547,1.588727908076149e-06,1.6067715291348705e-06,0,0
247,13,21,0,0.5,0.5,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.651667394588003e-06,8.698872170498361e-06,1.1794828525205895e-07,1.1825414648107462e-07,0,0
44,56,20,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00046832581574562937,0.0005251220194622874,4.596310006960702e-05,5.101330519382101e-05,0,0
392,123,14,0,0.5,0.02,0.5,13300,3000,3000,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.0,0.0,9.381894051330164e-05,0.00013028019457124175,9.122965085263491e-07,1.2746126367570814e-06,0,0
85,16,27,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.019816042273305e-05,4.26971324486658e-05,1.7088996344723312e-06,1.806450717453809e-06,0,0
242,118,25,0,0.02,0.02,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00023264349874807522,0.00023072837793733925,4.246394742282761e-06,4.203024221317803e-06,0,0
333,282,38,0,0.02,0.5,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0005822779901791364,0.009998769778758288,9.112574506102037e-06,0.00016197277986998839,0,0
208,102,10,0,0.5,0.5,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0001247133892320562,0.00012856952962465585,2.1786734979284844e-06,2.233263270630112e-06,0,0
381,19,25,0,0.02,0.02,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.03808118183224e-05,9.882559425022919e-06,9.569659426795663e-08,9.098751896465608e-08,0,0
112,96,13,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00025780254509299994,0.0003104845993220806,8.841222646375222e-06,1.0619080641578875e-05,0,0
296,25,25,0,0.02,0.02,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.1621633095492143e-05,2.115294755640207e-05,2.6455111457977223e-07,2.583207330832837e-07,0,0
170,269,32,0,0.02,0.02,0.02,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0013734248816035688,0.00132845479529351,4.532300512457641e-05,4.3800796843922756e-05,0,0
52,86,18,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0007187969808001071,0.0008995875308755785,6.140549179618984e-05,7.6240743953493e-05,0,0
197,147,22,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00020475162455113605,0.00025021264591487127,3.842342781306997e-06,4.680812401727843e-06,0,0
285,253,3,0,0.5,0.5,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0009538591199088842,0.0009584369778167457,1.2975155828881522e-05,1.3007445772508796e-05,0,0
180,225,7,0,0.02,0.02,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0026371893007308246,0.0026043947553262116,0.00011037115891075422,0.00010927543207854754,0,0
390,160,16,0,0.5,0.5,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9.925726044457406e-05,9.955408677342348e-05,9.260350384917267e-07,9.271111430490044e-07,0,0
374,261,3,0,0.5,0.5,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0059746589045971635,0.005969244102016091,4.9778681253237264e-05,4.965583464530975e-05,0,0
71,287,24,0,0.5,0.02,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.002378539531491697,0.0029133454663679004,0.0001637123058406285,0.00020087821990595256,0,0
182,196,38,0,0.02,0.02,0.02,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0006634422752540559,0.0006318539846688509,1.8595411271255557e-05,1.766417848150345e-05,0,0
334,90,4,0,0.02,0.5,0.5,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0026850624941289424,0.06619481220841408,2.58578446716865e-05,0.0006335900178035104,0,0
59,199,23,0,0.02,0.5,0.5,13299,3000,3000,0.996,1.0,0.9959839357429718,0.9959999918937683,0.9990224838256836,0.979366660118103,0.0006940571582419936,0.013192124948205366,0.012584818806499243,0.23753724247217178,0.0013163034271719463,0.023963595443734,0,0
133,237,10,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0006864699767902494,0.0005681964394170791,2.099432301396329e-05,1.7337695584709454e-05,0,0
227,151,32,0,0.5,0.5,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00017483747942605987,0.00018160305626224726,2.8057132710057637e-06,2.9011191050410606e-06,0,0
79,297,9,0,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.002857749373652041,0.003826520359143615,0.0001932748576889305,0.00025950891359641275,0,0
113,30,23,0,0.5,0.5,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.9561969101196156e-05,5.9907446120632814e-05,1.9007886990942606e-06,1.900030437982286e-06,0,0
