epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm,id
200,27,20,0,0.5,0.02,0.02,13300,3000,3000,0.9996598639455782,0.9996626984126984,0.9836065573770492,0.9993333220481873,1.0,0.999666690826416,0.0,0.0,3.0493152189592364e-05,0.0008572697348427028,5.497717952933085e-07,4.067196883387314e-06,1,0,b72128ad-5cf3-4ef2-86dc-7adc10727ec9
200,39,22,1,0.5,0.02,0.02,13300,3000,3000,0.9998299319727891,0.9996598639455783,0.9917355371900827,0.999666690826416,1.0,0.999666690826416,0.0,0.0,4.3443463437142785e-05,0.002851497568190098,7.509608478133041e-07,6.638334087656749e-06,1,0,f65c1576-e3d0-4f3f-8188-a7c55f1c3998
200,51,15,1,0.02,0.02,0.02,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,0.999666690826416,0.0,0.0,6.802168063586578e-05,0.0011888861889019608,1.2205315052246732e-06,3.3247295898799294e-06,1,0,4a76a56f-3c6d-4386-9877-a6be39b14967
200,21,23,0,0.5,0.02,0.02,13300,3000,3000,0.9996598639455782,1.0,0.9836065573770492,0.9993333220481873,1.0,1.0,0.0,0.0,2.0363787552923895e-05,0.0001911196915898472,3.533614228787636e-07,1.6543597161529796e-06,1,0,d668acef-6954-4abf-bbb8-6e93e572862a
200,35,25,0,0.5,0.02,0.02,13300,3000,3000,0.9994897959183673,0.9994501133786847,0.975609756097561,0.9990000128746033,1.0,0.9990000128746033,0.0,0.0,3.832875663647428e-05,0.00455468837171793,6.801624920502022e-07,5.548146161352236e-06,1,0,5b097376-aaea-476f-ab6e-033b446ded37
200,33,26,0,0.5,0.02,0.02,13300,3000,3000,0.9994897959183673,0.9994756235827664,0.975609756097561,0.9990000128746033,1.0,0.999666690826416,0.0,0.0,3.5833146466757174e-05,0.00290895220823586,6.329668966086326e-07,2.4827445783979315e-06,1,0,fded6002-8d67-4988-a34d-852284a4d51d
200,29,17,0,0.5,0.02,0.02,13300,3000,3000,0.9994897959183673,0.9996626984126984,0.975609756097561,0.9990000128746033,1.0,0.9986666440963745,0.0,0.0,3.32486040861113e-05,0.004978690622374415,6.314869643955732e-07,9.240818008447469e-06,1,0,a2fe55e6-d76e-4aca-b352-5645be6b339f
200,42,20,0,0.5,0.5,0.5,13300,3000,3000,0.9996666666666667,1.0,0.9996665555185061,0.999666690826416,1.0,0.999666690826416,0.0,0.0,4.087806046300102e-05,0.0009129139187280088,7.128004421613286e-07,2.653072097688654e-06,1,0,7b05ca84-7fcd-4d00-8817-0348a17c8348
200,41,26,0,0.02,0.02,0.02,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.3107933743158354e-05,4.432893474586308e-05,7.618289183309188e-07,7.703846267177092e-07,1,0,3c144313-d794-4f39-bcc0-74469d9306d3
200,17,29,0,0.5,0.02,0.02,13300,3000,3000,0.9998299319727891,0.9996598639455783,0.9917355371900827,0.999666690826416,1.0,0.999666690826416,0.0,0.0,1.6630167920084205e-05,0.0013782947324216365,2.860494070606004e-07,1.8916247566637749e-06,1,0,58c16cde-c86c-446b-86a3-98ee9fe62167
200,10,24,0,0.5,0.5,0.5,13300,3000,3000,0.9996666666666667,0.9999733333333333,0.9996665555185061,0.999666690826416,1.0,0.9993333220481873,0.0,0.0,8.583626095060026e-06,0.0074185225646942856,1.4716888589061755e-07,3.4460774224541786e-06,1,0,a25da0f7-e658-4209-92d5-b887fadedcae
200,59,18,0,0.5,0.5,0.5,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,0.9993333220481873,0.0,0.0,7.266586180776358e-05,0.0059175231959670786,1.3355900843362011e-06,1.7557368668601443e-06,1,0,d8cd856d-557f-4675-8ea9-96e9b8289f80
200,50,24,1,0.5,0.02,0.02,13300,3000,3000,1.0,1.0,1.0,1.0,1.0,0.9993333220481873,0.0,0.0,5.7949620895669796e-05,0.0013324789702892303,1.0504550872713137e-06,3.784921020508983e-06,1,0,94b85f4d-b94c-4fbb-96cd-70e20006ca81
200,24,25,1,0.5,0.02,0.02,13300,3000,3000,0.9996598639455782,0.9993792517006802,0.9836065573770492,0.9993333220481873,1.0,0.999666690826416,0.0,0.0,2.3017627245280892e-05,0.0005646060511935502,3.981191764652433e-07,5.862566434602054e-06,1,0,745d719d-0255-4883-b060-6a6eefa4941d
200,26,18,1,0.5,0.02,0.02,13300,3000,3000,0.9998299319727891,0.9996626984126984,0.9917355371900827,0.999666690826416,1.0,0.9993333220481873,0.0,0.0,2.4903446865209843e-05,0.0029106094036251305,4.3024314816091186e-07,9.421539669083322e-07,1,0,967ab21c-43e7-44c9-873a-1f231c32319d
200,24,27,0,0.02,0.02,0.02,13299,3000,3000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.2307937797449995e-05,2.360196322115371e-05,3.8517131251444847e-07,3.8142101667880274e-07,1,0,22b03150-f490-4c9d-b6ee-bbc1685e783c
200,18,24,1,0.5,0.02,0.02,13300,3000,3000,0.9998299319727891,0.9996598639455783,0.9917355371900827,0.999666690826416,1.0,0.999666690826416,0.0,0.0,1.5323016032198212e-05,0.0037129286443814634,2.59857414732564e-07,3.6591017199220807e-06,1,0,4d25190d-be59-4b34-94ba-bb27ced1c909
