epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm,id
200,58,17,1,0.5,0.02,0.02,13300,3000,3000,0.7687074829931974,0.7492630385487529,0.08943089430894309,0.6266666650772095,0.7907293319702149,0.6578333258628846,0.001122815146007926,0.011148730558536477,0.5033236503601074,0.5603423237800598,0.0003809232552669985,0.023379330068607474,1,0,4bab7a29-5ea8-4772-87c0-9e7741c0423c
200,16,26,1,0.5,0.02,0.02,13300,3000,3000,0.8045918367346939,0.8932993197278911,0.09680065627563575,0.6330000162124634,0.8075187921524047,0.66700000166893,0.004108733436018729,0.014612778612526807,0.41758911311626434,0.4630437582731247,0.013188551504659403,0.027492288724868495,1,0,bf88785c-1898-4df5-9f11-204b8066bb5a
200,30,19,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.7276020408163265,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.08663235381245613,0.08934727385640144,2.6170248938488254e-05,2.528519827106421e-05,1,0,cdacfb40-6698-4d82-93d4-6644e7b6edca
200,22,26,1,0.5,0.02,0.02,13300,3000,3000,0.8008503401360545,0.7572675736961452,0.09739714525608732,0.6416666507720947,0.7974360883235931,0.6777666687965394,0.001932341880911296,0.02064409956246896,0.48558124601840974,0.5199350267648697,0.0006631172926340982,0.03815358918444606,1,0,88f8f6db-f609-4673-a824-7752d6b40f8f
200,33,19,0,0.5,0.02,0.02,13300,3000,3000,0.9166666666666666,0.958452380952381,0.21071428571428572,0.8526666760444641,0.9171052694320678,0.8455333232879638,0.0011765188457302331,0.007917903637950637,0.2236581638455391,0.30377795100212096,0.00228819414449431,0.021635398344715603,1,0,e0055dd3-ca3b-4c81-be8a-4f1dbf823634
200,18,18,1,0.5,0.02,0.02,13300,3000,3000,0.9204081632653063,0.9373866213151928,0.21933085501858737,0.8600000143051147,0.9230150401592254,0.8568999946117402,0.001198046686633702,0.0060241131930732356,0.21667200922966004,0.2927696734666824,0.002695966584569899,0.02159837384889122,1,0,37d7f8d2-a1e3-46cc-969e-c70b18f3c6ba
200,54,25,0,0.5,0.02,0.02,13300,3000,3000,0.8734693877551021,0.9429478458049887,0.13888888888888887,0.7519999742507935,0.8664887249469757,0.7419666647911072,0.007004920851833299,0.020247614475556067,0.30390127301216124,0.3507177323102951,0.005957213605220425,0.023212649555425766,1,0,69159f78-9499-45cb-a449-3fcf108d0dbf
200,24,23,0,0.5,0.5,0.5,13300,3000,3000,0.9306666666666666,0.9654022222222223,0.9341772151898734,0.9306666851043701,0.9384285628795623,0.8998666644096375,0.0007766286160759099,0.04693948318942622,0.17286888360977173,0.2805738314986229,0.0017328828047869494,0.13067821840717972,1,0,7564405e-e00b-4a42-a7f1-59ea0704ac1c
200,19,16,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.7359807256235827,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.08621329888701439,0.08890110477805138,4.354006819718214e-05,6.259014480086845e-05,1,0,fd3e4ff1-e42b-4adb-be80-8077461a3e25
200,51,24,1,0.5,0.02,0.02,13300,3000,3000,0.7933673469387755,0.764155328798186,0.09620253164556962,0.6430000066757202,0.798849630355835,0.6731000006198883,0.00173326049051234,0.012141797392229684,0.4948516428470612,0.5380344003438949,0.0005086773979113467,0.022458372869863,1,0,b9e4d952-e87d-4966-8e08-126cef026c86
