epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm
200,58,17,1,0.5,0.02,0.02,13300,3000,3000,0.7687074829931974,0.7492630385487529,0.08943089430894309,0.6266666650772095,0.7907293319702149,0.6578333258628846,0.001122815146007926,0.011148730558536477,0.5033236503601074,0.5603423237800598,0.0003809232552669985,0.023379330068607474,1,0
200,16,26,1,0.5,0.02,0.02,13300,3000,3000,0.8045918367346939,0.8932993197278911,0.09680065627563575,0.6330000162124634,0.8075187921524047,0.66700000166893,0.004108733436018729,0.014612778612526807,0.41758911311626434,0.4630437582731247,0.013188551504659403,0.027492288724868495,1,0
200,30,19,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.7276020408163265,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.08663235381245613,0.08934727385640144,2.6170248938488254e-05,2.528519827106421e-05,1,0
200,22,26,1,0.5,0.02,0.02,13300,3000,3000,0.8008503401360545,0.7572675736961452,0.09739714525608732,0.6416666507720947,0.7974360883235931,0.6777666687965394,0.001932341880911296,0.02064409956246896,0.48558124601840974,0.5199350267648697,0.0006631172926340982,0.03815358918444606,1,0
200,33,19,0,0.5,0.02,0.02,13300,3000,3000,0.9166666666666666,0.958452380952381,0.21071428571428572,0.8526666760444641,0.9171052694320678,0.8455333232879638,0.0011765188457302331,0.007917903637950637,0.2236581638455391,0.30377795100212096,0.00228819414449431,0.021635398344715603,1,0
200,18,18,1,0.5,0.02,0.02,13300,3000,3000,0.9204081632653063,0.9373866213151928,0.21933085501858737,0.8600000143051147,0.9230150401592254,0.8568999946117402,0.001198046686633702,0.0060241131930732356,0.21667200922966004,0.2927696734666824,0.002695966584569899,0.02159837384889122,1,0
200,54,25,0,0.5,0.02,0.02,13300,3000,3000,0.8734693877551021,0.9429478458049887,0.13888888888888887,0.7519999742507935,0.8664887249469757,0.7419666647911072,0.007004920851833299,0.020247614475556067,0.30390127301216124,0.3507177323102951,0.005957213605220425,0.023212649555425766,1,0
200,24,23,0,0.5,0.5,0.5,13300,3000,3000,0.9306666666666666,0.9654022222222223,0.9341772151898734,0.9306666851043701,0.9384285628795623,0.8998666644096375,0.0007766286160759099,0.04693948318942622,0.17286888360977173,0.2805738314986229,0.0017328828047869494,0.13067821840717972,1,0
200,19,16,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.7359807256235827,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.08621329888701439,0.08890110477805138,4.354006819718214e-05,6.259014480086845e-05,1,0
200,51,24,1,0.5,0.02,0.02,13300,3000,3000,0.7933673469387755,0.764155328798186,0.09620253164556962,0.6430000066757202,0.798849630355835,0.6731000006198883,0.00173326049051234,0.012141797392229684,0.4948516428470612,0.5380344003438949,0.0005086773979113467,0.022458372869863,1,0
200,15,27,0,0.5,0.5,0.5,13300,3000,3000,0.9306666666666666,0.9628151111111112,0.9329896907216495,0.9306666851043701,0.9396315753459931,0.9334999978542328,0.0015240990724778322,0.009627787156219278,0.16965449899435042,0.19077342450618745,0.002287401390090909,0.020558321286809192,1,0
200,44,23,0,0.5,0.5,0.5,13300,3000,3000,0.9023333333333333,0.9534977777777779,0.9104796822487015,0.9023333191871643,0.9083157837390899,0.9004666686058045,0.0029506246971427595,0.01617625983546729,0.25431782752275467,0.2703398153185844,0.006064316667723338,0.031066386334456367,1,0
200,16,24,1,0.5,0.02,0.02,13300,3000,3000,0.8761904761904762,0.9226984126984127,0.15508021390374332,0.7893333435058594,0.8748571395874023,0.7781333327293396,0.006043836076402089,0.011082724746030228,0.30509533584117887,0.38204945921897887,0.010983109318787227,0.020582135787594453,1,0
200,48,28,0,0.5,0.02,0.02,13300,3000,3000,0.886904761904762,0.9485827664399094,0.15286624203821655,0.778333306312561,0.8825338304042816,0.7733000099658967,0.005233647165599058,0.018049581584131905,0.29156430065631866,0.3422436505556107,0.005810329329737454,0.02291313711620536,1,0
200,27,16,0,0.5,0.02,0.02,13300,3000,3000,0.8989795918367347,0.9408956916099773,0.20212765957446807,0.8500000238418579,0.9119548916816711,0.8526666641235352,0.0016496841684782422,0.01191450903729676,0.2328618958592415,0.3001752108335495,0.0014006251992117332,0.03323226058262674,1,0
200,30,20,1,0.02,0.02,0.02,13300,3000,3000,0.5,0.7121371882086168,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.0892937310039997,0.09039081111550332,4.693731924473113e-05,4.834580984042301e-05,1,0
200,17,29,1,0.5,0.02,0.02,13300,3000,3000,0.7812925170068027,0.8046315192743764,0.09286898839137644,0.6353333592414856,0.7994661569595337,0.6602666795253753,0.0017701711681958777,0.014437458084297848,0.45741892158985137,0.5082717001438141,0.004459083547307712,0.033521085467387066,1,0
200,33,27,1,0.5,0.5,0.5,13300,3000,3000,0.7899999999999999,0.7574622222222223,0.8239239798770261,0.7900000214576721,0.7968796968460083,0.7830999970436097,0.0016576418748702735,0.03175953639606549,0.4934226721525192,0.5164191365242005,0.0009794396759803562,0.06050016138235448,1,0
200,39,27,0,0.5,0.02,0.02,13300,3000,3000,0.9289115646258503,0.9598412698412698,0.22304832713754646,0.8606666922569275,0.9284812092781067,0.8553666651248932,0.0018790341103847303,0.034561847820588604,0.2050929069519043,0.27542530596256254,0.0029758831658943797,0.07100159226585616,1,0
200,47,24,0,0.5,0.02,0.02,13300,3000,3000,0.9166666666666667,0.9596541950113379,0.19672131147540983,0.8366666436195374,0.9160676717758178,0.826966655254364,0.002231466636372203,0.008175099477708515,0.2375284492969513,0.30087149441242217,0.004563075126150444,0.015594923485466549,1,0
200,44,26,1,0.02,0.02,0.02,13300,3000,3000,0.5,0.698157596371882,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09126112088561059,0.09199319556355476,3.285530097548876e-05,1.7698333177191876e-05,1,0
200,35,25,1,0.02,0.02,0.02,13300,3000,3000,0.5,0.7164739229024943,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.08991529494524002,0.09069554209709167,5.4983235069969056e-05,8.234447722169262e-05,1,0
200,54,23,0,0.5,0.5,0.5,13300,3000,3000,0.8873333333333333,0.9472160000000001,0.8985594237695078,0.887333333492279,0.8876766860485077,0.8842333436012269,0.005440461643690274,0.00760415606801909,0.2850001960992813,0.288677904009819,0.006032968863131919,0.006672784235545406,1,0
200,56,15,0,0.5,0.02,0.02,13300,3000,3000,0.8069727891156462,0.8740759637188208,0.0979253112033195,0.637666642665863,0.8204661726951599,0.6730333268642426,0.0006179932680732351,0.007625182708687829,0.38401013910770415,0.4423230320215225,0.0016757204355538078,0.010528669248557993,1,0
200,52,28,0,0.5,0.02,0.02,13300,3000,3000,0.8437074829931973,0.93078231292517,0.11549566891241579,0.6936666369438171,0.8434962332248688,0.7089666545391082,0.0018631489284643898,0.0055526735042296035,0.33232431411743163,0.3910741090774536,0.005187318389994563,0.008090382998116548,1,0
200,12,24,0,0.5,0.02,0.02,13300,3000,3000,0.899829931972789,0.9583900226757369,0.2640586797066014,0.8996666669845581,0.9460000038146973,0.8962999999523162,0.0012535405034203577,0.008238719730072697,0.1560456022620201,0.24007382839918137,0.0015369293207087925,0.02382378185324037,1,0
200,35,18,1,0.02,0.02,0.02,13300,3000,3000,0.5,0.7027551020408163,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09059881269931794,0.09105429276823998,4.1845578960880976e-05,2.687884203845453e-05,1,0
200,21,21,1,0.5,0.5,0.5,13300,3000,3000,0.7973333333333333,0.8003693333333333,0.8234610917537746,0.7973333597183228,0.8032706797122955,0.8126000046730042,0.0019873748219677236,0.007406897524107755,0.4557296007871628,0.44009988009929657,0.005064688054809179,0.007388294472704964,1,0
200,13,21,1,0.5,0.5,0.5,13300,3000,3000,0.9233333333333333,0.9616448888888889,0.9268447837150127,0.9233333468437195,0.9310451149940491,0.9166000008583068,0.0010140385837791282,0.017026645014801372,0.19729715436697007,0.236941160261631,0.002522705894568642,0.062281311556388025,1,0
200,54,18,0,0.5,0.02,0.02,13300,3000,3000,0.8581632653061224,0.9203741496598639,0.1417910447761194,0.7699999809265137,0.8698721826076508,0.7488666713237763,0.004097305952881055,0.01739360973031109,0.317192468047142,0.3774657964706421,0.004658687431912263,0.02647866705514219,1,0
200,29,27,1,0.5,0.02,0.02,13300,3000,3000,0.7668367346938776,0.7659467120181405,0.09532538955087076,0.6710000038146973,0.7981879591941834,0.6705666661262513,0.0013098366612999761,0.018559246171197346,0.4915880024433136,0.5463921785354614,0.0002830819279683353,0.034165242509818054,1,0
200,30,18,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.7295861678004535,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.08628020957112312,0.0887031078338623,4.8586415977218713e-05,2.379809988973654e-05,1,0
200,34,21,1,0.02,0.02,0.02,13300,3000,3000,0.5,0.7103401360544218,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.09018633961677551,0.09101657494902611,5.196748243341049e-05,6.038463424236917e-05,1,0
200,39,19,0,0.5,0.02,0.02,13300,3000,3000,0.9125850340136055,0.9511337868480725,0.2172284644194757,0.8606666922569275,0.9233834624290467,0.860533332824707,0.0018048265190140351,0.01891865227556688,0.21496760696172715,0.27697197198867796,0.007324481040205678,0.028333501742727196,1,0
200,56,20,0,0.02,0.02,0.02,13300,3000,3000,0.5,0.7071541950113378,0.0,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.0,0.0,0.08845994025468826,0.09014908596873283,5.011011262207839e-05,3.854586285738205e-05,1,0
